abandoned	заброшенный
tomb	могила, гробница
tome	том 
tommy	томми 
tomorrow	завтра, назавтра
tone	стиль, характер
tongs	щипцы, клещи
tongue	язык
tonight	сегодня вечером
ton	тонна
took	брал (от take)
tools	инструменты (!NEW!)
tool	инструмент
toothache	зубная боль
tooth	зуб
too	слишком, тоже
topic	тема
topmost	самый верхний, самый важный
topple	валиться
top	верх, верхушка
Torches	фонарики (!NEW!)
torch	факел
tore	рвал (!NEW!)
torn	оборванный (не worn) (!NEW!)
torrent	поток
