a barber; hairdressing	理发 lǐ fà 
suitcase	行李箱 xíng lǐ xiāng 
sullen; depressed; melancholy; dejected	忧郁 yōu yù 
summary; abstract	摘要 zhāi yào 
summer camp	夏令营 xià lìng yíng 
summer	夏 xià 
sum	总和 zǒng hé 
sun; CL:个	太阳 tài yáng 
Sunday	礼拜天 lǐ bài tiān 
sunlight; sunshine; transparent (open to public scrutinity); CL:线[xian4]	阳光 yáng guāng 
sunny and cloudless	晴朗 qíng lǎng 
sunset; the setting sun	夕阳 xī yáng 
superabundant; to teem with; to produce in abundance; to abound in	盛产 shèng chǎn 
superfluous; unnecessary; surplus	多余 duō yú 
superiority; dominance; advantage	优势 yōu shì 
superior quality; high grade; top grade	高档 gāo dàng 
superior; superiority	优越 yōu yuè 
supermarket (abbr.); CL:家[jia1]	超市 chāo shì 
superstition	迷信 mí xìn 
supply does not meet demand	供不应求 gōng bù yìng qiú 
supposing; if	假如 jiǎ rú 
sure enough; as expected; really	果然 guǒ rán 
surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must	一定 yí dìng 
surface area	面积 miàn jī 
surface; face; outside; appearance	表面 biǎo miàn 
surgical operation; operation; surgery; CL:个	手术 shǒu shù 
surroundings; environment; to encompass	周围 zhōu wéi 
survival of the fittest	优胜劣汰 yōu shèng liè tài 
suspense in a movie, play etc; concern for sb's welfare	悬念 xuán niàn 
suspicion; (be) suspected (of)	嫌疑 xián yí 
sweet	甜 tián 
swelling or lump on skin; pimple; knot; preoccupation; problem	疙瘩 gē da 
swim	游泳 yóu yǒng 
symbol; mark; sign	符号 fú hào 
symmetry; symmetrical	对称 duì chèn 
symptom (of an illness)	症状 zhèng zhuàng 
system; CL:个	系统 xì tǒng 
system (e.g. political, administrative etc); institution; CL:个	制度 zhì dù 
system of enfeoffment; feudalism; feudal; feudalistic	封建 fēng jiàn 
system; setup; CL:个	体系 tǐ xì 
table; desk; CL:张[zhang1] ,套[tao4]	桌子 zhuō zi 
table tennis; ping-pong; ping pong; table tennis ball; CL:个	乒乓球 pīng pāng qiú 
taboo; to avoid as taboo; to abstain from	忌讳 jì huì 
taciturn; silent; uncommunicative	沉默 chén mò 
tactics; to be tactful	策略 cè lvè 
tactics	战术 zhàn shù 
tailor; dressmaker	裁缝 cái feng 
tail	尾巴 wěi ba 
take a step	迈 mài 
taken in (by sb's deceit); to be fooled; to be duped	上当 shàng dàng 
take office; assume a post	就职 jiù zhí 
take office	上任 shàng rèn 
take summer vacation	放暑假 fàng shǔ jià 
talent; gift; genius; talented; gifted	天才 tiān cái 
tall and straight	挺拔 tǐng bá 
tangerine; CL:个,瓣[ban4]	桔子 jú zi 
tangible benefit; material advantages; advantageous (deal); substantial (discount)	实惠 shí huì 
target; goal; objective; CL:个	目标 mù biāo 
target; object; partner; boyfriend; girlfriend; CL:个	对象 duì xiàng 
task; problem; issue	课题 kè tí 
taste; flavor; feeling	滋味 zī wèi 
tasty; delicious	好吃 hǎo chī 
tasty; to taste good	可口 kě kǒu 
taxes; duties	税 shuì 
taxi	出租车 chū zū chē 
teacher; CL:个[ge4] ,位[wei4]	老师 lǎo shī 
teacher-training; pedagogical; normal (school, e.g. Beijing Normal University)	师范 shī fàn 
teaching material; CL:本[ben3]	教材 jiào cái 
team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:个	班 bān 
tea; tea plant; CL:杯[bei1] ,壶[hu2]	茶 chá 
technique; trick; skill	手法 shǒu fǎ 
technology; technique; skill; CL:门[men2] ,种[zhong3] ,项[xiang4]	技术 jì shù 
teenager; teenage; an adolescent; a youth; young person	青少年 qīng shào nián 
television; TV; CL:台[tai2] ,个[ge4]	电视 diàn shì 
temperament; disposition; temper; CL:个	脾气 pí qi 
temperament; personality traits; manners	气质 qì zhí 
temperate zone	温带 wēn dài 
temperature; CL:个	温度 wēn dù 
temple; monastery; shrine	寺庙 sì miào 
temporarily; the time being; for the moment; provisional; tentatively	姑且 gū qiě 
temporary; provisional; for the time being	暂时 zàn shí 
ten; 10	十 shí 
tenacious; hard to defeat	顽强 wán qiáng 
tender; soft; delicate; light (color); inexperienced; unskilled	嫩 nèn 
ten million; countless; many; one must by all means	千万 qiān wàn 
tennis; CL:个	网球 wǎng qiú 
tent; CL:顶[ding3] ,座[zuo4]	帐篷 zhàng peng 
ten thousand; a great number	万 wàn 
tents; classifier for houses	幢 zhuàng 
terrain; topography relief	地势 dì shì 
terrible; frightful; frightening; terror; terrorist	恐怖 kǒng bù 
territory; land; soil; local god; Lar; genius loci; CL:片[pian4]	土地 tǔ dì 
territory	领土 lǐng tǔ 
test; to test; CL:次[ci4] ,个	测验 cè yàn 
text message; SMS	短信 duǎn xìn 
thanks to; luckily	多亏 duō kuī 
that's all; nothing more	而已 ér yǐ 
that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing;	那 nà 
the back (human anatomy); the back part of sth;	后背 hòu bèi 
the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory	背 bèi 
the classics; scriptures; classical	经典 jīng diǎn 
the daily life of a family	家常 jiā cháng 
The Dragon Boat Festival (the 5th day of the 5th lunar month)	端午节 duān wǔ jié 
the Earth; planet; CL:个	地球 dì qiú 
the end; end point; finishing line (in a race); destination; terminus; CL:个	终点 zhōng diǎn 
the four limbs of the body	四肢 sì zhī 
the Great Wall	长城 cháng chéng 
the Internet	互联网 hù lián wǎng 
theme; subject	主题 zhǔ tí 
the most important; of chief importance	首要 shǒu yào 
then (afterwards); after that; afterwards; after	然后 rán hòu 
then; at that time; while	当时 dāng shí 
the North Pole; the Arctic Pole; the north magnetic pole	北极 běi jí 
theory; CL:个	理论 lǐ lùn 
theory; doctrine	学说 xué shuō 
the outside world; external	外界 wài jiè 
the present age; the contemporary era	当代 dāng dài 
therefore; as a result; thus; and as a result,...	因而 yīn ér 
there is no harm in; might as well	不妨 bù fáng 
there is no need; why should	何必 hé bì 
there's not enough time (to do sth); it's too late (to do sth)	来不及 lái bu jí 
there's still time; able to do sth in time	来得及 lái de jí 
the rest; the others; remaining; remainder; apart from them	其余 qí yú 
thereupon; as a result; consequently; thus; hence	于是 yú shì 
the slightest amount or degree; a bit	丝毫 sī háo 
the stream flows without stopping (idiom); unending flow	川流不息 chuān liú bù xī 
the traditional Chinese calendar; the lunar calendar	农历 nóng lì 
the truth about sth; the actual facts	真相 zhēn xiàng 
thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress	厚 hòu 
thief; wily; deceitful; evil; extremely; disagreeably	贼 zéi 
thin; cold in manner; indifferent; weak; light; infertile	薄 báo 
thing; object; CL:个	事物 shì wù 
thing; stuff; person; CL:个[ge4] ,件[jian4]	东西 dōng xi 
think deeply; ponder	思索 sī suǒ 
think of; long for; miss	思念 sī niàn 
thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices, tablets, tract of land, area of water; classifier for CDs, movies, DVDs etc; used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc	片 piàn 
third in a race; bronze medalist	季军 jì jūn 
third in order (III); third of 10 heavenly stems 十天干; letter 'C' or roman 'III' in list 'A, B, C', or 'I, II, III' etc; propyl	丙 bǐng 
thirsty	渴 kě 
this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing);	这 zhè 
thorn; splinter; to stab; to pierce; to prick	刺 cì 
thorough; thoroughly; complete	彻底 chè dǐ 
thoughtful; considerate; attentive; thorough	周到 zhōu dao 
thought; notion; concept; sense; views; ideology; general impressions	观念 guān niàn 
thought; thinking; idea; ideology; CL:个	思想 sī xiǎng 
thousand	千 qiān 
three; 3	三 sān 
three-dimensional; solid; stereoscopic	立体 lì tǐ 
throat; larynx	喉咙 hóu lóng 
throat; voice; CL:把[ba3]	嗓子 sǎng zi 
thunder; (internet slang) terrifying; terrific	雷 léi 
thus; then; standard; norm; rule; to imitate; to follow; principle; classifier for written items (such as an official statement); conjunction used to express contrast with a previous sentence or clause (like 'thus');	则 zé 
thus; thereby	从而 cóng ér 
ticket; ballot; bank note; person held for ransom; amateur performance of Chinese opera; classifier for shipments and business transactions (topolect); CL:张[Zhang1]	票 piào 
tide; current; trend	潮流 cháo liú 
tie one's necktie	系领带 jì lǐng dài 
tiger; CL:只[zhi1]	老虎 lǎo hǔ 
tight; thin; lean	瘦 shòu 
time; era; period of time	时光 shí guāng 
time; length of time; moment; period	时候 shí hou 
time limit; deadline; allotted time	期限 qī xiàn 
time; period; CL:段[duan4]	时间 shí jiān 
time; season; period; CL:个	季节 jì jié 
timid; cowardly	胆怯 dǎn qiè 
tint; coloring; coloration; character	色彩 sè cǎi 
tip of branch	梢 shāo 
tired; weary; to strain; to wear out; to work hard	累 lèi 
tire; pneumatic tire	轮胎 lún tāi 
title; heading; headline; caption; subject	标题 biāo tí 
to abolish; to abrogate; to repeal	废除 fèi chú 
to absorb; to assimilate; to ingest	吸收 xī shōu 
to absorb; to draw (a lesson, insight etc); to assimilate	吸取 xī qǔ 
to accept (a bit reluctantly); to put up with;	将就 jiāng jiù 
to accept a job offer; to apply for an advertised position	应聘 yìng pìn 
to accept; to adopt (ideas)	采纳 cǎi nà 
to accept; to receive	接受 jiē shòu 
to accompany; to follow; to occur together with; attendant	伴随 bàn suí 
to accompany; to keep sb company	陪 péi 
to accord; to give; to show (respect)	给予 jǐ yǔ 
to accumulate; accumulation; cumulative; cumulatively	积累 jī lěi 
to accumulate; to amass; to hoard; to save	攒 zǎn 
to achieve; to implement; to realize; to bring about	实现 shí xiàn 
to act as intermediary; to link; intermediate; inter-; agency; agent	中介 zhōng jiè 
to act for oneself; autonomous	自主 zì zhǔ 
to act (in a play); to perform; to put on (a performance); performance; concert; show; CL:场[chang2] ,次[ci4]	演出 yǎn chū 
to act in a way that defeats one's purpose (idiom);	南辕北辙 nán yuán běi zhé 
to act jointly; to form a partnership	合伙 hé huǒ 
to act on behalf of sb in a responsible position; to act as an agent or proxy; surrogate	代理 dài lǐ 
to act on; to affect; action; function; activity; impact; result; effect; purpose; intent; to play a role; corresponds to English -ity, -ism, -ization; CL:个	作用 zuò yòng 
to add hail to snow (idiom); one disaster on top of another; to make things worse in a bad situation	雪上加霜 xuě shàng jiā shuāng 
to adjourn; to delay; to defer; adjournment; procrastination	拖延 tuō yán 
to adjust; to balance; to make up a medical prescription	调剂 tiáo jì 
to adjust; to regulate; to harmonize; to reconcile (accountancy etc)	调节 tiáo jié 
to administer; to have jurisdiction (over)	管辖 guǎn xiá 
to admire; to applause; to praise; to eulogize	赞美 zàn měi 
to admire; to look up to; to respect sb greatly	钦佩 qīn pèi 
to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge	承认 chéng rèn 
to adopt or carry out (measures, policies, course of action); to take	采取 cǎi qǔ 
to advance; to conduct; underway; in progress; to do; to carry out; to carry on; to execute	进行 jìn xíng 
to advertise; a commercial; advertisement; CL:项[xiang4]	广告 guǎng gào 
to advise; to urge; to try to persuade; to exhort	劝 quàn 
to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought)	倡导 chàng dǎo 
to advocate; to stand for; view; position; stand; proposition; viewpoint; assertion; CL:个	主张 zhǔ zhāng 
to affix a seal (to sth)	盖章 gài zhāng 
to age; to deteriorate with age; old and weak	衰老 shuāi lǎo 
to agitate; to arouse; to instigate; to encite	鼓动 gǔ dòng 
to agree; to consent; to approve	同意 tóng yì 
to agree; to promise; to reply; to respond	答应 dā ying 
to aim (a weapon at a target); fig. to aim (for a higher standard);	瞄准 miáo zhǔn 
to allocate; to provide; to outfit with	配备 pèi bèi 
to allow; to permit	许可 xǔ kě 
to alternate; to take turns	轮流 lún liú 
to amend; to alter; to modify	修改 xiū gǎi 
to analyze; analysis; CL:个	分析 fēn xī 
to announce; to make public; to publish	公布 gōng bù 
to answer; to reply; Reply to: (in email header)	答复 dá fù 
to anticipate; to expect; to reckon ahead	意料 yì liào 
to (a place); until (a time); up to; to go; to arrive	到 dào 
to apologize; to make an apology	道歉 dào qiàn 
to appear; to arise; to emerge; to show up	出现 chū xiàn 
to appear; to emerge; to present (a certain appearance); demonstrate	呈现 chéng xiàn 
to applaud; to clap	鼓掌 gǔ zhǎng 
to apply for sth; application (form etc); CL:份[fen4]	申请 shēn qǐng 
to appoint and nominate	任命 rèn mìng 
to appoint; to assign; to indicate clearly and with certainty; designated	指定 zhǐ dìng 
to appraise; to identify; to evaluate	鉴定 jiàn dìng 
to appreciate; to enjoy; to admire	欣赏 xīn shǎng 
to approve; approval; acknowledgment; OK	认可 rèn kě 
to approve; to endorse	赞成 zàn chéng 
to approve; to ratify	批准 pī zhǔn 
to argue; to debate; to contend; argument; contention; controversy; debate; CL:次[ci4] ,场[chang3]	争论 zhēng lùn 
to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate; to appear; appearance; emergence; generation; production; yield	产生 chǎn shēng 
to arouse; to excite	激发 jī fā 
to arrange; arrangement; array; permutation (i.e. ordered choice of n elements out of m)	排列 pái liè 
to arrange; to exhibit; to move to and fro; a pendulum	摆 bǎi 
to arrange; to plan; to set up	安排 ān pái 
to arrange; to tidy up; to sort out; to straighten out; to list systematically; to collate (data, files); to pack (luggage)	整理 zhěng lǐ 
to arrest; to apprehend; an arrest	逮捕 dài bǔ 
to arrive at (place or time); period; to become due; classifier for events, meetings, elections, sporting fixtures etc	届 jiè 
to arrive late	迟到 chí dào 
to ascertain; to act on; to criticize; to pass on; classifier for batches, lots, military flights; tier (for the ranking of universities and colleges)	批 pī 
to ask about; to inquire about	打听 dǎ ting 
to ask (a question) in reply; to answer a question with a question; rhetorical question	反问 fǎn wèn 
to ask; to demand;	索取 suǒ qǔ 
to ask; to invite; please (do sth); to treat (to a meal etc); to request	请 qǐng 
to ask	问 wèn 
to assault; to pounce; to rush at sth; to throw oneself on	扑 pū 
to assemble; combination; combinatorial	组合 zǔ hé 
to assign; to allocate; to distribute	分配 fēn pèi 
to assign; to entrust (a task); to give; to bestow	赋予 fù yǔ 
to assist by the arm; to mix; to mix; to support; to sustain	搀 chān 
